RealY,PredictY,T  0 B,T 0 D,T  1 B,T 1 D,T  2 B,T 2 D,T  3 B,T 3 D,T  4 B,T 4 D,T  5 B,T 5 D,T  6 B,T 6 D,T  7 B,T 7 D,T  8 B,T 8 D,T  9 B,T 9 D,T  10 B,T 10 D,T  11 B,T 11 D,T  12 B,T 12 D,T  13 B,T 13 D,T  14 B,T 14 D,T  15 B,T 15 D,T  16 B,T 16 D,T  17 B,T 17 D,T  18 B,T 18 D,T  19 B,T 19 D,T  20 B,T 20 D,T  21 B,T 21 D,T  22 B,T 22 D,T  23 B,T 23 D,T  24 B,T 24 D,T  25 B,T 25 D,T  26 B,T 26 D,T  27 B,T 27 D,T  28 B,T 28 D,T  29 B,T 29 D,T  30 B,T 30 D,T  31 B,T 31 D,T  32 B,T 32 D,T  33 B,T 33 D,T  34 B,T 34 D,T  35 B,T 35 D,T  36 B,T 36 D,T  37 B,T 37 D,T  38 B,T 38 D,T  39 B,T 39 D,T  40 B,T 40 D,T  41 B,T 41 D,T  42 B,T 42 D,T  43 B,T 43 D,T  44 B,T 44 D,T  45 B,T 45 D,T  46 B,T 46 D,T  47 B,T 47 D,T  48 B,T 48 D,T  49 B,T 49 D
0.824524,0.988215,0.438405,0.617639,0.103895,0.334435,0.707247,0.475747,0.090398,0.315457,0.194506,0.391024,0.0356284,0.296701,0.0809085,0.363321,0.28911,0.721595,0.276133,0.321794,0.57639,0.26378,0.215687,0.397358,1.67852,0.923809,0.339373,0.5589,0.0458324,0.441002,0.53046,0.24054,0.289998,0.297645,0.0315334,0.655159,0.01579,0.801273,0.568157,0.598322,0.162846,0.627194,0.127489,0.346837,0.072004,0.414083,0.603255,0.129213,0.0436659,0.391617,0.0861082,0.31922,0.180351,0.840091,0.0315121,0.438397,0.324879,0.258265,0.157624,0.555561,0.140812,0.461291,0.0713972,0.342765,0.24804,0.349843,0.335279,0.422781,0.422134,0.319468,0.0382496,0.358586,0.0100636,0.4748,0.280682,0.228902,0.357428,0.332232,0.0243406,0.382998,0.319528,0.64024,0.0648977,0.159277,0.333372,0.45952,0.261444,0.28428,0.0648977,0.159277,0.313036,0.313274,0.0890114,0.407226,0.107557,0.300407,0.226086,0.367393,0.154873,0.745747,0.0321621,0.934126
-0.089744,-0.00889065,0.0756537,0.812887,0.0825866,0.415558,0.125267,0.3164,0.12245,0.461334,0.12453,0.317993,0.370648,0.583419,0.205125,0.496833,0.0713207,0.447814,0.376582,1.05631,0.164625,0.311036,0.136316,0.292503,0.136316,0.292503,0.103558,0.422045,0.36315,0.992511,0.454709,0.373797,0.123317,0.395045,0.162314,0.481378,0.162316,0.545489,0.441794,0.558008,0.136316,0.292503,0.463026,0.451399,0.0480957,0.566169,0.547782,0.475749,0.354876,0.473717,0.0604032,0.5732,0.285894,0.374653,0.070743,0.414849,0.571267,0.63236,0.725436,0.623297,0.524904,0.717613,0.334335,0.599771,0.640162,0.586198,0.263707,0.546482,0.0654711,0.454287,0.706109,0.919877,0.116557,0.407973,0.170403,0.368383,0.0203643,0.326081,0.491799,0.45374,0.240655,0.800674,0.419985,0.628048,0.435873,0.405979,0.482093,0.288483,0.433215,0.617095,0.148737,0.429041,0.856813,0.703219,0.327318,0.253003,0.114868,0.419681,0.025824,0.664705,0.172773,0.26617
-0.838491,-0.812325,0.270202,0.583699,0.0173811,0.738478,0.187019,0.494001,0.143504,0.667888,0.187528,0.6686,0.0749123,0.43792,0.274592,0.618215,0.0448959,0.792865,0.0720495,0.697533,0.165787,0.611459,0.0071004,0.429679,0.107453,0.454082,0.101127,0.842975,0.139402,0.6145,0.161573,0.470665,0.126357,0.506869,0.115957,0.69648,0.239232,0.793203,0.278359,0.757524,0.0850949,0.818573,0.0837198,0.85499,0.278013,0.732804,0.0343118,0.735891,0.228616,0.577813,0.287545,0.44159,0.219635,0.791811,0.126357,0.506869,0.277146,0.421483,0.265782,0.635938,0.268815,0.506677,0.204005,0.587599,0.0365651,0.669589,0.162754,0.361748,0.149007,0.597186,0.240217,0.564429,0.175233,0.578174,0.108493,0.60988,0.137091,0.577645,0.124959,0.553479,0.113693,0.869744,0.098452,0.617519,0.165472,0.635983,0.0352651,0.634233,0.227966,0.653986,0.100359,0.758149,0.239449,0.863005,0.0596282,0.619946,0.0909445,0.652895,0.111526,0.780494,0.142002,0.665646
-0.997079,-0.982984,0.169191,0.48152,0.177884,0.369425,0.0396336,0.276737,0.128921,0.303476,0.205733,0.532209,0.123635,0.650923,0.0396336,0.276737,0.107256,0.516661,0.0396336,0.276737,0.151597,0.459445,0.163558,0.526668,0.105739,0.55376,0.124501,0.583182,0.381943,0.551278,0.0396336,0.276737,0.201283,0.3514,0.300048,0.720162,0.169796,0.519833,0.0664984,0.667524,0.190017,0.41582,0.200172,0.557772,0.0573124,0.500965,0.216881,0.475346,0.152753,0.421386,0.23722,0.358095,0.10379,0.666004,0.0907037,0.527855,0.100946,0.661331,0.0290611,0.726135,0.0257084,0.745626,0.154486,0.387451,0.00843585,0.60931,0.126754,0.513468,0.0456999,0.488702,0.0693418,0.424476,0.148826,0.724727,0.152986,0.714187,0.201283,0.3514,0.238433,0.550328,0.0348944,0.446198,0.193312,0.558198,0.101163,0.46018,0.00716305,0.775597,0.0249284,0.69208,0.0426938,0.674635,0.209082,0.483934,0.0443133,0.421252,0.0797141,0.634741,0.0842909,0.237235,0.057715,0.563792
-0.523913,-0.538483,0.213348,0.327159,0.223314,0.326994,0.293616,0.717575,0.105563,0.201628,0.105563,0.57137,0.0499925,0.503547,0.240212,0.412618,0.0851979,0.554968,0.0895309,0.450016,0.245412,0.690624,0.236573,0.428688,0.0450528,0.406767,0.129633,0.635596,0.162391,0.579756,0.50709,0.774729,0.211,0.476184,0.305749,0.654478,0.0900007,0.678292,0.221494,0.360874,0.00622892,0.534724,0.0258355,0.437396,0.17279,0.374393,0.0346103,0.26592,0.0656993,0.692532,0.0587452,0.243834,0.132717,0.316701,0.047826,0.330251,0.140119,0.465137,0.235879,0.375587,0.0458761,0.310839,0.0873644,0.27215,0.124628,0.199716,0.088231,0.388132,0.258064,0.43075,0.42794,0.448631,0.222707,0.492688,0.0994969,0.460419,0.0989557,0.454615,0.448219,0.51624,0.0364513,0.389052,0.0942972,0.348544,0.106603,0.334872,0.0330937,0.349141,0.251767,0.286268,0.188216,0.530534,0.124845,0.420208,0.10903,0.291197,0.018036,0.355047,0.0697078,0.577878,0.0293019,0.401203
-1.16433,-1.20216,0.0259794,0.469122,0.212444,0.443231,0.061438,0.460724,0.0224928,0.387591,0.0115734,0.629843,0.0277703,0.572751,0.000740886,0.418475,0.0394782,0.472568,0.123019,0.625713,0.0904346,0.458872,0.0248615,0.484467,0.0499554,0.524578,0.00749171,0.524589,0.0473557,0.501222,0.035665,0.674763,0.164096,0.650253,0.043349,0.395474,0.115133,0.463354,0.0193729,0.591745,0.0499555,0.370589,0.00637388,0.280319,0.325536,0.505317,0.0312368,0.366338,0.0146413,0.367789,0.013558,0.53933,0.181968,0.536534,0.0878347,0.46166,0.0889527,0.660217,0.0624144,0.58211,0.0627031,0.521644,0.0187229,0.50001,0.01309,0.501587,0.0865349,0.566136,0.0185064,0.467031,0.013558,0.53933,0.17388,0.521606,0.0545051,0.569372,0.135498,0.585201,0.0854082,0.363223,0.276717,0.411539,0.0913012,0.483952,0.00864732,0.565668,0.036185,0.536294,0.359949,0.222676,0.085235,0.407906,0.042156,0.762489,0.114084,0.55957,0.0326233,0.49595,0.0404228,0.428069,0.0549039,0.462624
1.19716,1.10755,0.452709,0.500503,0.368475,0.606151,0.0244911,0.342836,0.15634,0.594265,1.35209,0.737684,0.999547,0.391156,1.15857,0.738744,0.40522,0.118685,1.43286,0.82108,0.100391,0.422004,0.483647,0.452006,1.43286,0.59742,1.81952,0.92561,0.336594,0.867094,0.0932517,0.722821,0.0521747,0.830259,0.402966,0.473539,1.06744,0.836418,1.99891,0.867912,1.33637,0.635621,0.00555122,0.517814,0.737996,0.733912,2.0444,0.856464,0.46126,0.491538,0.033716,0.707433,0.652202,0.925689,0.6834,0.787964,0.399153,0.175637,0.187485,0.35825,0.0733098,0.436231,1.33666,0.714946,1.15362,0.757119,0.168203,0.443135,0.40158,0.152856,1.39667,0.650912,1.32902,0.824268,0.130169,0.758759,0.387021,0.289542,0.39612,0.204113,0.448386,0.573146,1.30286,0.740027,1.43286,0.814509,0.427578,0.282534,1.14427,0.639631,1.88914,0.990443,1.43286,0.82108,1.37497,0.730524,2.55353,0.884907,0.511649,0.821472,0.0326327,0.476092
0.474416,0.398765,0.19733,0.321628,0.298376,0.369498,0.689561,0.648582,0.152779,0.344125,0.046764,0.600238,0.0347471,0.46081,0.123661,0.317256,0.117537,0.25039,0.124354,0.29321,0.0184549,0.382969,0.00754321,0.582995,0.109225,0.642651,1.35389,0.501131,0.0877833,0.275027,0.0781715,0.47431,0.275757,0.358928,0.0482661,0.364806,0.408427,0.487971,0.160361,0.357225,0.60272,0.402253,0.0948537,0.272444,0.159712,0.196966,0.129814,0.427356,0.118764,0.399277,0.129735,0.327534,0.2469,0.533741,0.0964494,0.277102,0.00788987,0.530209,0.183247,0.664974,0.258425,0.494942,0.0420341,0.315246,0.0964494,0.277102,0.144467,0.441295,0.076005,0.492088,0.479662,0.427565,0.28529,0.359312,0.230261,0.421696,0.0869167,0.594144,0.19629,0.659652,0.0160718,0.312216,0.278791,0.367328,0.0780849,0.319887,0.0803381,0.774037,0.0617852,0.459224,0.270991,0.264394,0.138046,0.609542,0.103736,0.251833,0.00719658,0.609958,0.298723,0.405267,0.00580254,0.674739
-0.015216,-0.0263835,0.335041,0.509387,0.0931717,0.39338,0.745182,0.58238,0.464113,0.88211,0.0607373,0.724034,0.442414,0.463126,0.136155,0.632741,0.0137907,0.590647,0.347824,0.470936,0.415635,0.824352,0.379671,0.973862,0.133556,0.299859,0.042192,0.616147,0.176906,0.801,0.324498,0.787703,0.11709,0.773552,0.225993,0.450991,0.513129,0.277823,0.35558,0.69407,1.28421,0.450406,0.302544,0.448151,0.479308,0.81835,0.041672,0.522592,0.754045,0.592967,0.356273,0.49712,0.739116,0.678046,0.592279,0.30458,0.0514646,0.739837,0.11839,0.369382,0.189668,0.808973,0.00856768,0.32629,0.619894,0.785948,0.137672,0.566677,0.353962,0.716561,0.17134,0.882884,1.3622,0.510584,0.0995612,1.09575,0.549526,0.930221,0.206587,0.632729,0.324498,0.775986,0.177406,0.762585,0.172726,0.813832,0.496466,0.894013,0.109579,0.6886,0.162731,0.518916,0.81971,0.740982,2.56679,0.831367,0.684716,0.396333,0.529594,0.566203,0.4956,1.03552
-1.09587,-1.01992,0.0381154,0.288959,0.0625247,0.4054,0.0374799,0.446296,0.020061,0.430325,0.0573251,0.489013,0.0551586,0.245049,0.0575851,0.337262,0.196157,0.511192,0.0405997,0.37678,0.488203,0.388854,0.066771,0.351029,0.015728,0.381504,0.0534254,0.244895,0.0541188,0.244956,0.039993,0.501307,0.0558085,0.27154,0.0792502,0.238012,0.0782682,0.259112,0.0558519,0.242438,0.0282938,0.288157,0.160884,0.682472,0.0776904,0.192306,0.0328018,0.445748,0.0655578,0.458902,0.0196278,0.261506,0.183416,0.533722,0.0395597,0.288099,0.0716242,0.291591,0.124749,0.405846,0.0289021,0.159132,0.0339267,0.481896,0.0103567,0.215351,0.0419012,0.463599,0.14676,0.601682,0.071624,0.325604,0.12622,0.199579,0.000304103,0.287216,0.0511723,0.371314,0.0221425,0.342968,0.0506523,0.258592,0.0374799,0.328211,0.0393013,0.27485,0.086098,0.627132,0.637259,0.589095,0.0529056,0.233522,0.178825,0.415353,0.0529922,0.195367,0.024049,0.268189,0.0404264,0.172134,0.025694,0.365115
2.54041,2.5008,0.0396092,0.185989,0.0396092,0.397585,0.0396092,0.492991,0.0396092,0.301111,0.0396092,0.627166,0.0396092,0.212222,0.0396092,0.850418,0.120722,0.795356,0.0396092,0.743422,0.0396092,0.212222,0.0396092,0.185989,0.0365739,0.593781,0.0396092,0.258563,0.0396092,0.212222,0.0396092,0.294665,0.0396092,0.381417,0.0396092,0.723492,0.0396092,0.274267,0.0210619,0.538613,0.0396092,0.235718,0.0396092,0.603561,0.0396092,1.03358,0.0396092,0.981724,0.0396092,0.574251,0.306175,0.501916,0.0396092,0.432817,0.0396092,0.316676,0.0396092,0.850418,0.0396092,0.185989,0.0274677,0.273972,0.0396092,0.539913,0.384169,0.516306,0.0396092,0.397585,0.0396092,0.887766,0.0396092,0.185989,0.0396092,0.811156,0.0396092,0.887766,0.199059,0.421293,0.0396092,0.603335,0.306175,0.501916,0.295776,0.135376,0.0396092,0.22138,0.0396092,0.99121,0.0396092,0.540415,0.0396092,0.668241,0.0396092,0.887766,0.0396092,0.627166,0.0396092,0.297498,0.0396092,0.255479,0.0396092,0.487934
